,artist_name,followers,genre,popularity,ID
139,Ab-Soul,"{'href': None, 'total': 657175}","['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",65,0g9vAlRPK9Gt3FKCekk4TW
140,Uncle Kracker,"{'href': None, 'total': 366231}","['country', 'country road', 'neo mellow', 'pop rock', 'post-grunge']",65,2DnqqkzzDKm3vAoyHtn8So
141,Jay Critch,"{'href': None, 'total': 475721}","['nyc rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",65,6Av6GMCOznZIlHuNcBWgf4
142,Dillon Francis,"{'href': None, 'total': 974679}","['big room', 'brostep', 'dance pop', 'edm', 'electro house', 'electronic trap', 'electropop', 'house', 'moombahton', 'pop', 'tropical house']",69,5R3Hr2cnCCjt220Jmt2xLf
143,Cody Carnes,"{'href': None, 'total': 40102}","['anthem worship', 'ccm', 'christian pop', 'world worship', 'worship']",64,7apN8bBgl19E0Ona9pvPq0
144,Kamaiyah,"{'href': None, 'total': 100234}",['cali rap'],65,3XVpDdKav6C6zwlDXPhMEO
145,PUBLIC,"{'href': None, 'total': 59402}",['indie rockism'],72,4vxaQs6vK54nK89J1VtLex
146,Motionless In White,"{'href': None, 'total': 643243}","['melodic metalcore', 'metalcore', 'post-screamo']",66,6MwPCCR936cYfM1dLsGVnl
147,HAIM,"{'href': None, 'total': 892951}","['dance pop', 'indie pop', 'indietronica', 'metropopolis', 'pop', 'pop rock', 'rock']",69,4Ui2kfOqGujY81UcPrb5KE
148,Wrabel,"{'href': None, 'total': 139676}","['electropop', 'indie cafe pop', 'indie pop', 'indie poptimism', 'indiecoustica', 'indietronica', 'neo mellow', 'pop', 'pop rock', 'uk pop']",67,7r2uG6BlFXKcwmh9ItqlII
149,GASHI,"{'href': None, 'total': 128017}","['pop rap', 'trap', 'trap soul']",71,0JOxt5QOwq0czoJxvSc5hS
150,Sheryl Crow,"{'href': None, 'total': 612506}","['folk', 'lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",67,4TKTii6gnOnUXQHyuo9JaD
151,Natalia Lafourcade,"{'href': None, 'total': 2300063}","['latin', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'veracruz indie']",75,1hcdI2N1023RvSwLzTtdsp
